,distance_to,source,station_name,review_count,business_id,rating,name,price,poi_longitude,category,poi_latitude,address,station_longitude,station_latitude,num_bikes
602,159.0,Foursquare,11th & Reed,,,,Triangle Tavern,,-75.16108015655877,Bar,39.93220277721176,"1338 S 10th St, Philadelphia, PA 19147",-75.16248,39.93315,7
603,156.0,Foursquare,11th & Reed,,,,The Tasty,,-75.1639701207112,Vegan and Vegetarian Restaurant,39.93232243330674,"1401 S 12th St, Philadelphia, PA 19147",-75.16248,39.93315,7
604,176.0,Foursquare,11th & Reed,,,,Tiffin Bistro,,-75.16231901107831,Indian Restaurant,39.93473682339674,"1100 Federal St, Philadelphia, PA 19147",-75.16248,39.93315,7
606,125.0,Foursquare,34th & Chestnut,,,,White Dog Cafe University City,,-75.1929486,American Restaurant,39.95354810000001,"3420 Sansom St, Philadelphia, PA 19104",-75.192,39.95441,2
607,107.0,Foursquare,34th & Chestnut,,,,Avril 50,,-75.1925463825956,Coffee Shop,39.95353787445384,"3406 Sansom St (at 34th St), Philadelphia, PA 19104",-75.192,39.95441,2
608,112.0,Foursquare,34th & Chestnut,,,,New Deck Tavern,,-75.1926123,Restaurant,39.9535171,"3408 Sansom St (btwn 34th & 36th St), Philadelphia, PA 19104",-75.192,39.95441,2
609,170.0,Foursquare,34th & Chestnut,,,,Goldie,,-75.1926238698495,Falafel Restaurant,39.95295591874744,"3401 Walnut St, Philadelphia, PA 19104",-75.192,39.95441,2
610,159.0,Foursquare,34th & Chestnut,,,,DK Sushi,,-75.1922872,Sushi Restaurant,39.9529913,"3401 Walnut St, Philadelphia, PA 19104",-75.192,39.95441,2
611,125.0,Foursquare,Barnes Foundation,,,,Buena Onda,,-75.17086170326931,Mexican Restaurant,39.96079412914127,"1901 Callowhill St (at 20th St), Philadelphia, PA 19130",-75.17198,39.96006,2
612,168.0,Foursquare,Barnes Foundation,,,,Gyu-Kaku Japanese BBQ,,-75.17020957431274,Japanese Restaurant,39.96072762984046,"1901 Callowhill St, Philadelphia, PA 19130",-75.17198,39.96006,2
613,99.0,Foursquare,Barnes Foundation,,,,Starbucks,,-75.17157823062112,Coffee Shop,39.96090380255267,"1937 Callowhill St (at N 20th St), Philadelphia, PA 19130",-75.17198,39.96006,2
648,280.0,Foursquare,36th & Filbert,,,,Han Dynasty University City,,-75.19707468846718,Szechuan Restaurant,39.95658634457237,"3711 Market St, Philadelphia, PA 19104",-75.19388,39.95719,3
615,48.0,Foursquare,Crescent Park,,,,Bar Amis,,-75.17551254494923,Italian Restaurant,39.89662491763111,"4503 S Broad St, Philadelphia, PA 19112",-75.17514,39.89629,1
616,290.0,Foursquare,Crescent Park,,,,The Bistro,,-75.171926,Coffee Shop,39.895431,"1001 Intrepid Ave (League Island Blvd), Philadelphia, PA 19112",-75.17514,39.89629,1
647,139.0,Foursquare,36th & Filbert,,,,Savas Brick Oven Pizza,,-75.19285437290878,Bar,39.95816477449976,"3505 Lancaster Ave, Philadelphia, PA 19104",-75.19388,39.95719,3
653,127.0,Foursquare,"Girard Station, MFL",,,,Barcade,,-75.13459302918925,Bar,39.96755264839301,"1114 Frankford Ave (W Girard Ave & W Widley St), Philadelphia, PA 19125",-75.13546,39.96849,12
649,46.0,Foursquare,"Girard Station, MFL",,,,Sancho Pistola's,,-75.135199,Mexican Restaurant,39.968855,"19 W Girard Ave (at Leopard St), Philadelphia, PA 19123",-75.13546,39.96849,12
678,299.0,Foursquare,16th & Wolf,,,,Starbucks,,-75.16985776,Coffee Shop,39.92252073,"2201-2219 S Broad St (at Jackson St), Philadelphia, PA 19148",-75.17337,39.92255,4
680,595.0,Foursquare,23rd & Master,,,,2637Brew,,-75.18003518604161,American Restaurant,39.97433440252006,"2637 W Girard Ave, Philadelphia, PA 19130",-75.17362,39.97647,4
681,659.0,Foursquare,23rd & Master,,,,Lucky Goat Coffee House,,-75.17935730716006,Coffee Shop,39.97248795027458,"888 N 26th St (at Poplar St), Philadelphia, PA 19130",-75.17362,39.97647,4
686,352.0,Foursquare,Thompson & Franklin,,,,Taco Riendo,,-75.14467287666268,Taco Restaurant,39.971460413774864,"1301 N 5th St (at Thompson St.), Philadelphia, PA 19122",-75.14878,39.97183,4
687,362.0,Foursquare,Thompson & Franklin,,,,Helm,,-75.14453863761928,New American Restaurant,39.971552051326896,"1303 N 5th St (at W Thompson St), Philadelphia, PA 19122",-75.14878,39.97183,4
688,56.0,Foursquare,6th & Berks,,,,Club 1800,,-75.14316507489376,Bar,39.979733593184754,"1851 N 5th St (Berks St.), Philadelphia, PA 19122",-75.14371,39.98003,5
689,317.0,Foursquare,6th & Berks,,,,Making Time Warehouse,,-75.14407891015487,Bar,39.97718535384284,"521 Cecil B Moore Ave, Philadelphia, PA 19122",-75.14371,39.98003,5
690,320.0,Foursquare,6th & Berks,,,,Sutton’s,,-75.14377508139536,Restaurant,39.97714325298363,"1706 N 5th St, Philadelphia, PA 19122",-75.14371,39.98003,5
691,198.0,Foursquare,20th & Race,,,,Peddler Coffee,,-75.17422193303025,Coffee Shop,39.9582878249093,"2100 Spring St (at N 21st St), Philadelphia, PA 19103",-75.17232,39.95725,4
692,175.0,Foursquare,20th & Race,,,,Thanal Indian Tavern,,-75.17255870765372,Indian Restaurant,39.95568425250386,"1939 Arch St, Philadelphia, PA 19103",-75.17232,39.95725,4
693,370.0,Foursquare,12th & Fairmount,,,,Osteria,,-75.161056,Italian Restaurant,39.965029,"640 N Broad St, Philadelphia, PA 19130",-75.15679,39.96569,2
694,360.0,Foursquare,12th & Fairmount,,,,Sals Seafood,,-75.16090341944735,Seafood Restaurant,39.9664448073453,"676 N Broad St, Philadelphia, PA 19130",-75.15679,39.96569,2
695,41.0,Foursquare,54th & City Ave,,,,Starbucks,,-75.23460849799976,Coffee Shop,39.99633774920062,"2461 N 54th St (54th Street), Philadelphia, PA 19131",-75.23482,39.99667,6
696,76.0,Foursquare,54th & City Ave,,,,Al-Sham Middle Eastern Food,,-75.2355177505204,Middle Eastern Restaurant,39.99710117431726,"201 City Ave (at Old Lancaster Rd), Merion Station, PA 19066",-75.23482,39.99667,6
697,145.0,Foursquare,54th & City Ave,,,,Fat Tuna,,-75.23375701904297,Sushi Restaurant,39.99564743041992,"2451 N 54th St, Philadelphia, PA 19131",-75.23482,39.99667,6
698,202.0,Foursquare,54th & City Ave,,,,Wendy's,,-75.23719467599221,Fast Food Restaurant,39.99651027970136,"259 City Ave, Merion Station, PA 19066",-75.23482,39.99667,6
699,99.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,Hardena Waroeng Surabaya Restaurant,,-75.17120537475252,Indonesian Restaurant,39.92837866859552,"1754 S Hicks St (At Moore St), Philadelphia, PA 19145",-75.17021,39.92884,12
700,218.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,Ultimo Coffee,,-75.17102946437927,Coffee Shop,39.926975590245206,"1900 S 15th St (at Mifflin St), Philadelphia, PA 19145",-75.17021,39.92884,12
701,291.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,Ristorante Pesto,,-75.16918073650385,Italian Restaurant,39.92633847119804,"1915 S Broad St (btwn McKean St & Mifflin St), Philadelphia, PA 19148",-75.17021,39.92884,12
702,258.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,The Dolphin Tavern,,-75.16821515026264,Dive Bar,39.93059331086254,"1539 S Broad St, Philadelphia, PA 19147",-75.17021,39.92884,12
703,126.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,Oriental Chinese Restaurant,,-75.16927820428418,Asian Restaurant,39.92795268288914,"1800 S Broad St (moore street), Philadelphia, PA 19145",-75.17021,39.92884,12
704,332.0,Foursquare,"15th & Castle, DiSilvestro Playground",,,,Stargazy,,-75.16735612833608,English Restaurant,39.92679571550138,"1838 E Passyunk Ave (Mifflin), Philadelphia, PA 19148",-75.17021,39.92884,12
679,373.0,Foursquare,16th & Wolf,,,,L'Angolo Ristorante,,-75.17136297948085,Italian Restaurant,39.91956206367489,"1415 W Porter St, Philadelphia, PA 19145",-75.17337,39.92255,4
677,287.0,Foursquare,16th & Wolf,,,,La Llorona Cantina Mexicana,,-75.17274835174518,Mexican Restaurant,39.92509553613085,"1551 W Passyunk Ave (at S 16th St), Philadelphia, PA 19145",-75.17337,39.92255,4
650,56.0,Foursquare,"Girard Station, MFL",,,,Kosta's,,-75.13493660588752,Greek Restaurant,39.96880389088569,"15 W Girard Ave, Philadelphia, PA 19123",-75.13546,39.96849,12
676,249.0,Foursquare,16th & Wolf,,,,Café y Chocolate,,-75.17226,Mexican Restaurant,39.924628,"1532 Snyder Ave, Philadelphia, PA 19145",-75.17337,39.92255,4
651,91.0,Foursquare,"Girard Station, MFL",,,,R&D,,-75.134605,Cocktail Bar,39.968991,"1206 Frankford Ave, Philadelphia, PA 19125",-75.13546,39.96849,12
652,117.0,Foursquare,"Girard Station, MFL",,,,Johnny Brenda's,,-75.13425008138374,Bar,39.96899061147213,"1201 Frankford Ave (at Girard Ave), Philadelphia, PA 19125",-75.13546,39.96849,12
590,177.0,Foursquare,Allegheny & Richmond,,,,Mom Mom’s,,-75.103106,Polish Restaurant,39.982202,"3124 Richmond St (E Clementine), Philadelphia, PA 19134",-75.10121,39.98287,8
654,86.0,Foursquare,"Girard Station, MFL",,,,Saint Lazarus Bar,,-75.13639,Bar,39.968792,"102 W Girard Ave (Front Street), Philadelphia, PA 19123",-75.13546,39.96849,12
655,76.0,Foursquare,31st & Girard,,,,iMunch Cafe,,-75.18637151525799,Café,39.97585990634777,"1233 N 31st St, Philadelphia, PA 19121",-75.18669,39.97522,1
656,322.0,Foursquare,31st & Girard,,,,The Monkey & The Elephant,,-75.18298099951868,Café,39.974650944424695,"2831 W Girard Ave (28th St), Philadelphia, PA 19130",-75.18669,39.97522,1
657,402.0,Foursquare,31st & Girard,,,,Green Eggs Cafe,,-75.18217418068042,Restaurant,39.974146568249,"2800 W Girard Ave (28’th Street), Philadelphia, PA 19130",-75.18669,39.97522,1
659,571.0,Foursquare,"Independence Mall, NPS",,,,Bubblefish,,-75.15515705141259,Sushi Restaurant,39.95345457284423,"909 Arch St, Philadelphia, PA 19107",-75.14947,39.95073,3
661,168.0,Foursquare,9th & Lombard,,,,Chapterhouse Cafe & Gallery,,-75.1573325427228,Coffee Shop,39.94182815564492,"620 S 9th St (at Bainbridge St.), Philadelphia, PA 19147",-75.15698,39.94332,4
662,172.0,Foursquare,9th & Lombard,,,,Good Karma Cafe,,-75.15797234416873,Café,39.94467167210889,"928 Pine St (at 10th St), Philadelphia, PA 19107",-75.15698,39.94332,4
663,185.0,Foursquare,9th & Lombard,,,,Jiggy Coffee,,-75.158345,Coffee Shop,39.944622,"1000 Pine St (10th St), Philadelphia, PA 19107",-75.15698,39.94332,4
664,151.0,Foursquare,"32nd & Baring, Drexel Park",,,,Brexel Cafe,,-75.1892782340839,Hookah Bar,39.96088112123381,"305 N 33rd St, Philadelphia, PA 19104",-75.18788,39.96173,4
665,163.0,Foursquare,"32nd & Baring, Drexel Park",,,,Arterial Coffee,,-75.18762052725634,Coffee Shop,39.96319007204626,"3100 Spring Garden St, Philadelphia, PA 19104",-75.18788,39.96173,4
666,21.0,Foursquare,Cedar & Norris,,,,Loco Pez,,-75.127390339885,Mexican Restaurant,39.97684357384847,"2401 E Norris St (at Cedar St & Susquehanna St), Philadelphia, PA 19125",-75.12764,39.9768,10
667,8.0,Foursquare,Cedar & Norris,,,,Cedar Point Bar & Kitchen,,-75.12766820028347,Southern Food Restaurant,39.97687265307857,"2370 E Norris St (at Cedar St), Philadelphia, PA 19125",-75.12764,39.9768,10
668,57.0,Foursquare,Cedar & Norris,,,,ReAnimator Coffee,,-75.12708523489351,Coffee Shop,39.97650155518247,"1523 E Susquehanna Ave (at Norris St), Philadelphia, PA 19125",-75.12764,39.9768,10
669,97.0,Foursquare,Cedar & Norris,,,,Andy's Chicken,,-75.12831021315847,Korean Restaurant,39.9775078699667,"2001 Memphis St (Norris St), Philadelphia, PA 19125",-75.12764,39.9768,10
670,337.0,Foursquare,Cedar & Norris,,,,Coffee House Too,,-75.12368091340477,Café,39.97683008925086,"2514 E York St # 3647 (at Belgrade St), Philadelphia, PA 19125",-75.12764,39.9768,10
671,349.0,Foursquare,Cedar & Norris,,,,St. Oner’s,,-75.12863018452495,Bar,39.97984941423943,"2213 Frankford Ave, Philadelphia, PA 19125",-75.12764,39.9768,10
672,63.0,Foursquare,15th & Spruce,,,,José Pistola's,,-75.166235,Mexican Restaurant,39.947678,"263 S 15th St (at Bach Pl), Philadelphia, PA 19102",-75.16618,39.94711,9
673,69.0,Foursquare,15th & Spruce,,,,Volvér,,-75.16538403519627,Restaurant,39.946969267386606,"300 S Broad St (in the Kimmel Center), Philadelphia, PA 19102",-75.16618,39.94711,9
674,184.0,Foursquare,16th & Wolf,,,,D'jakarta Cafe,,-75.17351075725236,Indonesian Restaurant,39.92089747932695,"1540 W Ritner St (16th st & Ritner st), Philadelphia, PA 19145",-75.17337,39.92255,4
675,226.0,Foursquare,16th & Wolf,,,,Café Nhan,,-75.17336068782143,Vietnamese Restaurant,39.92459133358151,"1606 W Passyunk Ave, Philadelphia, PA 19145",-75.17337,39.92255,4
585,430.0,Foursquare,6th & Master,,,,Reanimator Coffee,,-75.14115157563333,Café,39.97244167095113,"310 W Master St (at Germantown Ave), Philadelphia, PA 19122",-75.14612,39.97318,3
589,86.0,Foursquare,Allegheny & Richmond,,,,The Last Shot,,-75.10162999030939,Bar,39.98358259452807,"Allegheny (Salmon), Philadelphia, PA ¤19134",-75.10121,39.98287,8
503,377.0,Foursquare,Dornsife Center,,,,Jollie's West,,-75.19719146840866,Hookah Bar,39.96020674442674,"3800 Lancaster Ave (at 38th St), Philadelphia, PA 19104",-75.19419,39.96271,5
505,386.0,Foursquare,Dornsife Center,,,,Chengdu Famous Food,,-75.19446254211044,Chinese Restaurant,39.95924068935624,"3635 Lancaster Ave, Philadelphia, PA 19104",-75.19419,39.96271,5
507,513.0,Foursquare,"51st & Regent, Kingsessing Library",,,,Little Delicious,,-75.2123705788031,Caribbean Restaurant,39.94160911885587,"4821 Woodland Ave, Philadelphia, PA 19143",-75.21838,39.94201,4
508,298.0,Foursquare,"51st & Regent, Kingsessing Library",,,,Wei Chong Wei Chinese Store,,-75.21772831060565,Chinese Restaurant,39.93937318585777,"1450 S 52nd St, Philadelphia, PA 19143",-75.21838,39.94201,4
509,262.0,Foursquare,3rd & Girard,,,,One Shot Cafe,,-75.1407,Café,39.967631,"217 W George St (at American St), Philadelphia, PA 19123",-75.1418,39.96984,21
510,24.0,Foursquare,3rd & Girard,,,,3rd & Girard,,-75.14183511030566,Bar,39.9696209919115,"1176 N 3rd St (W. Girard Ave), Philadelphia, PA 19123",-75.1418,39.96984,21
512,277.0,Foursquare,3rd & Girard,,,,Apricot Stone,,-75.14109220678496,Mediterranean Restaurant,39.967402573897,"426 W Girard Ave (btwn W George St & W Wildey St), Philadelphia, PA 19123",-75.1418,39.96984,21
513,270.0,Foursquare,3rd & Girard,,,,Streetside,,-75.13864599205364,Vietnamese Restaurant,39.969526500503,"165 W Girard Ave, Philadelphia, PA 19123",-75.1418,39.96984,21
515,299.0,Foursquare,3rd & Girard,,,,Baan Thai,,-75.1411644949396,Thai Restaurant,39.96718594081968,"1030 N American St, Philadelphia, PA 19123",-75.1418,39.96984,21
516,165.0,Foursquare,"Spring Garden Station, MFL",,,,The Kettle Black,,-75.14110110338268,Coffee Shop,39.9616757294182,"631 N 2nd St, Philadelphia, PA 19123",-75.1402,39.96036,10
517,206.0,Foursquare,"Spring Garden Station, MFL",,,,Bourbon & Branch,,-75.14112050217588,Restaurant,39.96207900303526,"705 N 2nd St, Philadelphia, PA 19123",-75.1402,39.96036,10
518,148.0,Foursquare,"Spring Garden Station, MFL",,,,Seiko Japanese Restaurant,,-75.14156,Japanese Restaurant,39.96119,"604 N 2nd St (at Green St), Philadelphia, PA 19123",-75.1402,39.96036,10
519,99.0,Foursquare,"Spring Garden Station, MFL",,,,The Bridge,,-75.13948277614372,Bar,39.95965498189352,"100 Spring Garden St, Philadelphia, PA 19123",-75.1402,39.96036,10
520,187.0,Foursquare,17th & Green,,,,Kelliann's Bar & Grill,,-75.164509,Dive Bar,39.963014,"1549 Spring Garden St, Philadelphia, PA 19130",-75.16582,39.96437,4
521,330.0,Foursquare,17th & Green,,,,Kansai,,-75.16928733955586,Japanese Restaurant,39.96302710496029,"1822 Spring Garden St (18th), Philadelphia, PA 19130",-75.16582,39.96437,4
524,21.0,Foursquare,4th & Bainbridge,,,,Southwark,,-75.14934308574003,Cocktail Bar,39.940547842044666,"701 S 4th St (at Bainbridge St.), Philadelphia, PA 19147",-75.14958,39.94061,4
525,162.0,Foursquare,4th & Bainbridge,,,,OX Coffee,,-75.14773841446954,Coffee Shop,39.94099138360062,"616 S 3rd St (South st), Philadelphia, PA 19147",-75.14958,39.94061,4
526,148.0,Foursquare,4th & Bainbridge,,,,Marrakesh,,-75.14954396983812,Moroccan Restaurant,39.94194989894999,"517 S Leithgow St (btwn 4th St & 5th St), Philadelphia, PA 19147",-75.14958,39.94061,4
527,201.0,Foursquare,4th & Bainbridge,,,,Nora's Taqueria & Grill,,-75.14734003218132,Mexican Restaurant,39.94118073892439,"248 South St (at S 3rd St), Philadelphia, PA 19147",-75.14958,39.94061,4
