,name,longitude,latitude,free_bikes
181,23rd & Chestnut,-75.17779,39.95269,1
182,Water & Mifflin,-75.14701,39.9237,9
183,6th & Chestnut,-75.15097,39.94883,6
184,13th & Montgomery,-75.15522,39.98005,0
185,8th & Brown,-75.15097,39.96634,0
186,JFK Blvd at Schuylkill Yards,-75.18647,39.95619,0
187,32nd & Allegheny,-75.18143,40.00537,3
188,21st & Washington,-75.17824,39.93906,14
189,22nd & Cecil B. Moore,-75.17088,39.98004,0
190,4th & Oregon,-75.15474,39.91551,8
191,36th & Filbert,-75.19388,39.95719,3
192,"Girard Station, MFL",-75.13546,39.96849,12
193,31st & Girard,-75.18669,39.97522,1
194,"Independence Mall, NPS",-75.14947,39.95073,3
195,9th & Lombard,-75.15698,39.94332,4
196,"32nd & Baring, Drexel Park",-75.18788,39.96173,4
197,Cedar & Norris,-75.12764,39.9768,10
198,15th & Spruce,-75.16618,39.94711,9
199,16th & Wolf,-75.17337,39.92255,4
200,23rd & Master,-75.17362,39.97647,4
201,Broad & Master,-75.15917,39.9746,2
202,Thompson & Franklin,-75.14878,39.97183,4
203,6th & Berks,-75.14371,39.98003,5
204,20th & Race,-75.17232,39.95725,4
205,12th & Fairmount,-75.15679,39.96569,2
206,54th & City Ave,-75.23482,39.99667,6
207,"15th & Castle, DiSilvestro Playground",-75.17021,39.92884,12
208,12th & Chestnut,-75.16027,39.95028,6
209,33rd & Market,-75.18982,39.95576,2
210,Germantown & Huntingdon,-75.14808,39.99146,4
211,York & Gaul,-75.12442,39.97759,5
212,27th & Pennsylvania,-75.18169,39.96906,6
213,Point Breeze & Tasker,-75.18154,39.93231,3
214,10th & Oregon,-75.1643,39.9158,8
215,15th & South,-75.16735,39.94391,6
216,Broad & Erie ,-75.15198,40.00924,1
217,Broad & Reed,-75.16822,39.93304,7
218,Broad & Oregon,-75.17096,39.91717,5
219,Penn Treaty Park,-75.12964,39.96672,7
220,24th & Sansom,-75.17943,39.95197,5
221,2nd & Snyder,-75.15,39.9216,6
222,4th & Arch,-75.14728,39.95238,0
223,Manayunk Bridge,-75.2277,40.02796,15
224,44th & Walnut,-75.20987,39.95511,6
225,12th & Cambria,-75.14991,39.99655,3
226,Fairmount & Ridge,-75.16125,39.96718,6
227,"Spring Garden Station, BSL",-75.16121,39.96244,10
228,8th & Spruce,-75.15508,39.94571,2
229,American & Berks,-75.13911,39.9785,6
230,5th & Spring Garden,-75.14667,39.9617,7
